,time,queue,self
0,0.0,64.0,0.0
1,0.5027932960893855,61.0,3.0
2,1.005586592178771,70.0,3.0
3,1.5083798882681565,69.0,8.0
4,2.011173184357542,67.0,10.0
5,2.5139664804469275,66.0,14.0
6,3.016759776536313,65.0,16.0
7,3.5195530726256985,63.0,19.0
8,4.022346368715084,60.0,24.0
9,4.5251396648044695,64.0,29.0
10,5.027932960893855,60.0,33.0
11,5.5307262569832405,58.0,38.0
12,6.033519553072626,57.0,39.0
13,6.5363128491620115,58.0,43.0
14,7.039106145251397,57.0,48.0
15,7.5418994413407825,54.0,51.0
16,8.044692737430168,49.0,56.0
17,8.547486033519554,48.0,60.0
18,9.050279329608939,48.0,65.0
19,9.553072625698324,50.0,68.0
20,10.05586592178771,51.0,70.0
21,10.558659217877096,50.0,74.0
22,11.061452513966481,49.0,76.0
23,11.564245810055866,51.0,79.0
24,12.067039106145252,61.0,82.0
25,12.569832402234638,62.0,86.0
26,13.072625698324023,61.0,89.0
27,13.575418994413408,64.0,90.0
28,14.078212290502794,61.0,93.0
29,14.58100558659218,62.0,94.0
30,15.083798882681565,57.0,99.0
31,15.58659217877095,51.0,105.0
32,16.089385474860336,48.0,108.0
33,16.592178770949722,46.0,111.0
34,17.09497206703911,44.0,113.0
35,17.59776536312849,38.0,119.0
36,18.100558659217878,35.0,125.0
37,18.603351955307264,36.0,126.0
38,19.106145251396647,33.0,129.0
39,19.608938547486034,29.0,128.0
40,20.11173184357542,23.0,134.0
41,20.614525139664806,19.0,136.0
42,21.117318435754193,14.0,142.0
43,21.620111731843576,15.0,143.0
44,22.122905027932962,17.0,144.0
45,22.62569832402235,15.0,146.0
46,23.12849162011173,18.0,147.0
47,23.631284916201118,17.0,152.0
48,24.134078212290504,15.0,154.0
49,24.63687150837989,15.0,158.0
50,25.139664804469277,11.0,161.0
51,25.64245810055866,13.0,159.0
52,26.145251396648046,12.0,159.0
53,26.648044692737432,8.0,161.0
54,27.150837988826815,12.0,155.0
55,27.6536312849162,12.0,151.0
56,28.156424581005588,12.0,148.0
57,28.659217877094974,11.0,140.0
58,29.16201117318436,13.0,140.0
59,29.664804469273744,11.0,140.0
60,30.16759776536313,10.0,144.0
61,30.670391061452516,12.0,143.0
62,31.1731843575419,11.0,142.0
63,31.675977653631286,13.0,142.0
64,32.17877094972067,15.0,143.0
65,32.68156424581006,20.0,146.0
66,33.184357541899445,23.0,146.0
67,33.68715083798883,25.0,148.0
68,34.18994413407822,25.0,149.0
69,34.6927374301676,21.0,150.0
70,35.19553072625698,16.0,151.0
71,35.69832402234637,15.0,152.0
72,36.201117318435756,18.0,150.0
73,36.70391061452514,16.0,153.0
74,37.20670391061453,18.0,154.0
75,37.709497206703915,21.0,148.0
76,38.212290502793294,18.0,146.0
77,38.71508379888268,13.0,141.0
78,39.21787709497207,11.0,140.0
79,39.720670391061454,21.0,135.0
80,40.22346368715084,25.0,137.0
81,40.726256983240226,31.0,138.0
82,41.22905027932961,33.0,136.0
83,41.731843575419,33.0,136.0
84,42.234636871508386,28.0,141.0
85,42.737430167597765,31.0,140.0
86,43.24022346368715,28.0,145.0
87,43.74301675977654,31.0,136.0
88,44.245810055865924,33.0,136.0
89,44.74860335195531,30.0,137.0
90,45.2513966480447,25.0,140.0
91,45.75418994413408,21.0,144.0
92,46.25698324022346,19.0,144.0
93,46.75977653631285,16.0,145.0
94,47.262569832402235,17.0,147.0
95,47.76536312849162,14.0,147.0
96,48.26815642458101,18.0,147.0
97,48.770949720670394,19.0,146.0
98,49.27374301675978,14.0,144.0
99,49.77653631284917,12.0,144.0
100,50.27932960893855,7.0,145.0
101,50.78212290502793,8.0,145.0
102,51.28491620111732,6.0,145.0
103,51.787709497206706,7.0,146.0
104,52.29050279329609,10.0,146.0
105,52.79329608938548,13.0,148.0
106,53.296089385474865,13.0,147.0
107,53.79888268156425,10.0,150.0
108,54.30167597765363,8.0,152.0
109,54.80446927374302,10.0,151.0
110,55.3072625698324,9.0,148.0
111,55.81005586592179,15.0,146.0
112,56.312849162011176,14.0,141.0
113,56.81564245810056,11.0,141.0
114,57.31843575418995,8.0,146.0
115,57.821229050279335,10.0,143.0
116,58.32402234636872,10.0,138.0
117,58.8268156424581,9.0,132.0
118,59.32960893854749,9.0,132.0
119,59.832402234636874,10.0,126.0
120,60.33519553072626,15.0,124.0
121,60.837988826815646,20.0,126.0
122,61.34078212290503,20.0,118.0
123,61.84357541899442,16.0,119.0
124,62.3463687150838,14.0,121.0
125,62.849162011173185,14.0,121.0
126,63.35195530726257,14.0,124.0
127,63.85474860335196,12.0,124.0
128,64.35754189944134,9.0,122.0
129,64.86033519553072,9.0,125.0
130,65.36312849162012,9.0,122.0
131,65.8659217877095,12.0,122.0
132,66.36871508379889,10.0,118.0
133,66.87150837988827,7.0,111.0
134,67.37430167597766,5.0,112.0
135,67.87709497206704,7.0,111.0
136,68.37988826815644,10.0,103.0
137,68.88268156424581,6.0,106.0
138,69.3854748603352,7.0,99.0
139,69.88826815642459,5.0,101.0
140,70.39106145251397,3.0,101.0
141,70.89385474860336,1.0,96.0
142,71.39664804469274,3.0,96.0
143,71.89944134078213,2.0,90.0
144,72.40223463687151,1.0,89.0
145,72.90502793296089,0.0,90.0
146,73.40782122905028,0.0,90.0
147,73.91061452513966,0.0,86.0
148,74.41340782122906,0.0,85.0
149,74.91620111731844,0.0,79.0
150,75.41899441340783,0.0,79.0
151,75.92178770949721,0.0,79.0
152,76.42458100558659,0.0,74.0
153,76.92737430167598,0.0,69.0
154,77.43016759776536,0.0,68.0
155,77.93296089385476,0.0,68.0
156,78.43575418994413,0.0,67.0
157,78.93854748603353,0.0,66.0
158,79.44134078212291,0.0,65.0
159,79.9441340782123,0.0,65.0
160,80.44692737430168,0.0,54.0
161,80.94972067039106,0.0,49.0
162,81.45251396648045,0.0,47.0
163,81.95530726256983,0.0,47.0
164,82.45810055865923,0.0,44.0
165,82.9608938547486,0.0,43.0
166,83.463687150838,0.0,39.0
167,83.96648044692738,0.0,37.0
168,84.46927374301677,0.0,35.0
169,84.97206703910615,0.0,33.0
170,85.47486033519553,0.0,33.0
171,85.97765363128492,0.0,33.0
172,86.4804469273743,0.0,33.0
173,86.9832402234637,0.0,32.0
174,87.48603351955308,0.0,30.0
175,87.98882681564247,0.0,28.0
176,88.49162011173185,0.0,27.0
177,88.99441340782123,0.0,23.0
178,89.49720670391062,0.0,21.0
